"year","tech","batt_replace_frac_kw","batt_replace_frac_kwh","system_capex_per_kw","batt_capex_per_kwh","batt_capex_per_kw","linear_constant","batt_om_per_kw","batt_om_per_kwh","sector_abbr"
2014,"pv,batt",0,1,2804.6339151085413,440.1248142530457,775.3350025011388,11132.003395384294,0.0,0.0,res
2015,"pv,batt",0,1,2689.969736725237,419.94547274475923,757.1869697798173,10775.016702107388,0.0,0.0,res
2016,"pv,batt",0,1,2575.3055583419336,399.7661312364653,739.0389370584891,10418.030008830596,0.0,0.0,res
2017,"pv,batt",0,1,2460.641379958659,379.5867897281787,720.8909043371605,10061.043315553688,0.0,0.0,res
2018,"pv,batt",0,1,2345.977201575355,359.4074482198921,702.7428716158321,9704.056622276898,0.0,0.0,res
2019,"pv,batt",0,1,2245.739721151658,362.5521421863784,710.1338168061712,9511.591153522098,0.0,0.0,res
2020,"pv,batt",0,1,2122.3018625439363,333.07275765952016,676.6834100789192,9056.904929349468,0.0,0.0,res
2021,"pv,batt",0,1,2001.9777779877484,304.13930440174784,648.5820169659477,8636.052207582135,0.0,0.0,res
2022,"pv,batt",0,1,1881.8047422485529,275.1872012464748,620.4689316618517,8214.055738463532,0.0,0.0,res
2023,"pv,batt",0,1,1764.3274959924177,246.73133692168813,597.1285700055178,7822.806832409877,0.0,0.0,res
2024,"pv,batt",0,1,1648.939965134966,218.6692877218961,577.542843908643,7455.956865051129,0.0,0.0,res
2025,"pv,batt",0,1,1535.1736433536967,190.91870548750273,560.905689782576,7108.402452923951,0.0,0.0,res
2026,"pv,batt",0,1,1423.2548158102163,179.27268899400218,547.7184112494647,6783.758563591861,0.0,0.0,res
2027,"pv,batt",0,1,1312.004353354982,169.0592252661855,535.7527673742513,6467.131623540703,0.0,0.0,res
2028,"pv,batt",0,1,1201.344329831167,160.60257271584533,524.8757532665827,6157.683748812647,0.0,0.0,res
2029,"pv,batt",0,1,1090.6253258695683,152.84523148255562,513.8275206427644,5846.87713050323,0.0,0.0,res
2030,"pv,batt",0,1,980.4264717279559,145.85028690843737,503.7481753837785,5542.4961459789565,0.0,0.0,res
2031,"pv,batt",0,1,968.66209536345,144.0271511985681,497.4514647815536,5474.315646601328,0.0,0.0,res
2032,"pv,batt",0,1,956.8977189989446,142.20401548869881,491.15475417932913,5406.135147223695,0.0,0.0,res
2033,"pv,batt",0,1,945.133342634438,140.38087977882938,484.8580435771048,5337.954647846072,0.0,0.0,res
2034,"pv,batt",0,1,933.3689662699327,138.55774406895983,478.56133297488054,5269.774148468438,0.0,0.0,res
2035,"pv,batt",0,1,921.6045899054268,136.73460835909046,472.26462237265605,5201.593649090813,0.0,0.0,res
2036,"pv,batt",0,1,909.8402135409207,134.91147264922122,465.9679117704314,5133.413149713182,0.0,0.0,res
2037,"pv,batt",0,1,898.0758371764148,133.0883369393519,459.67120116820684,5065.232650335551,0.0,0.0,res
2038,"pv,batt",0,1,886.3114608119088,131.26520122948247,453.3744905659829,4997.052150957917,0.0,0.0,res
2039,"pv,batt",0,1,874.5470844474032,129.4420655196129,447.077779963758,4928.8716515802835,0.0,0.0,res
2040,"pv,batt",0,1,862.7827080828972,127.61892980974359,440.7810693615335,4860.69115220266,0.0,0.0,res
2041,"pv,batt",0,1,851.0183317183918,125.7957940998743,434.48435875930915,4792.510652825025,0.0,0.0,res
2042,"pv,batt",0,1,839.2539553538855,123.97265839000478,428.1876481570848,4724.330153447401,0.0,0.0,res
2043,"pv,batt",0,1,827.4895789893793,122.14952268013552,421.89093755486016,4656.149654069777,0.0,0.0,res
2044,"pv,batt",0,1,815.7252026248736,120.32638697026621,415.5942269526359,4587.969154692137,0.0,0.0,res
2045,"pv,batt",0,1,803.9608262603679,118.50325126039644,409.2975163504113,4519.788655314513,0.0,0.0,res
2046,"pv,batt",0,1,792.1964498958621,116.68011555052736,403.0008057481871,4451.608155936875,0.0,0.0,res
2047,"pv,batt",0,1,780.4320735313562,114.85697984065771,396.7040951459625,4383.427656559246,0.0,0.0,res
2048,"pv,batt",0,1,768.6676971668504,113.03384413078842,390.40738454373815,4315.2471571816195,0.0,0.0,res
2049,"pv,batt",0,1,756.9033208023445,111.21070842091913,384.1106739415136,4247.066657803993,0.0,0.0,res
2050,"pv,batt",0,1,745.1389444378382,109.38757271104977,377.81396333928916,4178.8861584263595,0.0,0.0,res
2014,"pv,batt",0,1,1643.052958800734,308.6395005411214,0.0,411071.7346508205,0.0,0.0,com
2015,"pv,batt",0,1,1589.4992974253985,293.73528434227774,0.0,400762.9464939423,0.0,0.0,com
2016,"pv,batt",0,1,1535.9456360500478,278.83106814343773,0.0,390454.1583370678,0.0,0.0,com
2017,"pv,batt",0,1,1482.3919746746978,263.9268519445941,0.0,380145.3701801896,0.0,0.0,com
2018,"pv,batt",0,1,1428.8383132993476,249.02263574575042,0.0,369836.5820233114,0.0,0.0,com
2019,"pv,batt",0,1,1379.4488603834952,249.76154557637122,0.0,367232.2816897442,0.0,0.0,com
2020,"pv,batt",0,1,1323.7160340543778,228.91420463387925,0.0,352358.8426913517,0.0,0.0,com
2021,"pv,batt",0,1,1268.5580180034085,208.15823953121242,0.0,339062.27975266555,0.0,0.0,com
2022,"pv,batt",0,1,1213.4207690994301,187.3984235256312,0.0,325699.2616478669,0.0,0.0,com
2023,"pv,batt",0,1,1158.7848896130001,166.72204728276932,0.0,313776.16644294496,0.0,0.0,com
2024,"pv,batt",0,1,1104.5391019822928,146.1120295454875,0.0,302998.222286786,0.0,0.0,com
2025,"pv,batt",0,1,1050.596886321514,125.5545838726862,0.0,293127.51608376286,0.0,0.0,com
2026,"pv,batt",0,1,998.1305460019,116.628665305155,0.0,284337.98911862355,0.0,0.0,com
2027,"pv,batt",0,1,945.8829013229848,108.68273423325222,0.0,275925.6705400736,0.0,0.0,com
2028,"pv,batt",0,1,893.8637952823423,101.96288009608335,0.0,267851.5508869053,0.0,0.0,com
2029,"pv,batt",0,1,841.8836554856389,95.76948295689276,0.0,259710.71510511503,0.0,0.0,com
2030,"pv,batt",0,1,790.0487147647426,90.07792887977621,0.0,251873.01179742606,0.0,0.0,com
2031,"pv,batt",0,1,780.810714831939,88.96679757754127,0.0,248782.38317458172,0.0,0.0,com
2032,"pv,batt",0,1,771.5727148991347,87.85566627530642,0.0,245691.7545517369,0.0,0.0,com
2033,"pv,batt",0,1,762.3347149663309,86.74453497307155,0.0,242601.12592889232,0.0,0.0,com
2034,"pv,batt",0,1,753.0967150335271,85.63340367083667,0.0,239510.4973060475,0.0,0.0,com
2035,"pv,batt",0,1,743.8587151007233,84.5222723686018,0.0,236419.8686832028,0.0,0.0,com
2036,"pv,batt",0,1,734.6207151679193,83.41114106636684,0.0,233329.2400603584,0.0,0.0,com
2037,"pv,batt",0,1,725.3827152351154,82.30000976413206,0.0,230238.6114375137,0.0,0.0,com
2038,"pv,batt",0,1,716.1447153023113,81.1888784618972,0.0,227147.98281466906,0.0,0.0,com
2039,"pv,batt",0,1,706.9067153695072,80.07774715966241,0.0,224057.35419182444,0.0,0.0,com
2040,"pv,batt",0,1,697.6687154367038,78.9666158574274,0.0,220966.72556897948,0.0,0.0,com
2041,"pv,batt",0,1,688.4307155038993,77.85548455519262,0.0,217876.0969461352,0.0,0.0,com
2042,"pv,batt",0,1,679.1927155710956,76.74435325295777,0.0,214785.46832329046,0.0,0.0,com
2043,"pv,batt",0,1,669.9547156382912,75.63322195072296,0.0,211694.83970044603,0.0,0.0,com
2044,"pv,batt",0,1,660.7167157054876,74.52209064848797,0.0,208604.21107760133,0.0,0.0,com
2045,"pv,batt",0,1,651.4787157726834,73.41095934625328,0.0,205513.58245475663,0.0,0.0,com
2046,"pv,batt",0,1,642.2407158398796,72.29982804401828,0.0,202422.9538319118,0.0,0.0,com
2047,"pv,batt",0,1,633.0027159070753,71.18869674178363,0.0,199332.32520906726,0.0,0.0,com
2048,"pv,batt",0,1,623.7647159742718,70.07756543954865,0.0,196241.69658622265,0.0,0.0,com
2049,"pv,batt",0,1,614.5267160414675,68.9664341373138,0.0,193151.0679633781,0.0,0.0,com
2050,"pv,batt",0,1,605.2887161086643,67.8553028350789,0.0,190060.4393405332,0.0,0.0,com
2014,"pv,batt",0,1,1643.052958800734,308.6395005411214,0.0,411071.7346508205,0.0,0.0,ind
2015,"pv,batt",0,1,1589.4992974253985,293.73528434227774,0.0,400762.9464939423,0.0,0.0,ind
2016,"pv,batt",0,1,1535.9456360500478,278.83106814343773,0.0,390454.1583370678,0.0,0.0,ind
2017,"pv,batt",0,1,1482.3919746746978,263.9268519445941,0.0,380145.3701801896,0.0,0.0,ind
2018,"pv,batt",0,1,1428.8383132993476,249.02263574575042,0.0,369836.5820233114,0.0,0.0,ind
2019,"pv,batt",0,1,1379.4488603834952,249.76154557637122,0.0,367232.2816897442,0.0,0.0,ind
2020,"pv,batt",0,1,1323.7160340543778,228.91420463387925,0.0,352358.8426913517,0.0,0.0,ind
2021,"pv,batt",0,1,1268.5580180034085,208.15823953121242,0.0,339062.27975266555,0.0,0.0,ind
2022,"pv,batt",0,1,1213.4207690994301,187.3984235256312,0.0,325699.2616478669,0.0,0.0,ind
2023,"pv,batt",0,1,1158.7848896130001,166.72204728276932,0.0,313776.16644294496,0.0,0.0,ind
2024,"pv,batt",0,1,1104.5391019822928,146.1120295454875,0.0,302998.222286786,0.0,0.0,ind
2025,"pv,batt",0,1,1050.596886321514,125.5545838726862,0.0,293127.51608376286,0.0,0.0,ind
2026,"pv,batt",0,1,998.1305460019,116.628665305155,0.0,284337.98911862355,0.0,0.0,ind
2027,"pv,batt",0,1,945.8829013229848,108.68273423325222,0.0,275925.6705400736,0.0,0.0,ind
2028,"pv,batt",0,1,893.8637952823423,101.96288009608335,0.0,267851.5508869053,0.0,0.0,ind
2029,"pv,batt",0,1,841.8836554856389,95.76948295689276,0.0,259710.71510511503,0.0,0.0,ind
2030,"pv,batt",0,1,790.0487147647426,90.07792887977621,0.0,251873.01179742606,0.0,0.0,ind
2031,"pv,batt",0,1,780.810714831939,88.96679757754127,0.0,248782.38317458172,0.0,0.0,ind
2032,"pv,batt",0,1,771.5727148991347,87.85566627530642,0.0,245691.7545517369,0.0,0.0,ind
2033,"pv,batt",0,1,762.3347149663309,86.74453497307155,0.0,242601.12592889232,0.0,0.0,ind
2034,"pv,batt",0,1,753.0967150335271,85.63340367083667,0.0,239510.4973060475,0.0,0.0,ind
2035,"pv,batt",0,1,743.8587151007233,84.5222723686018,0.0,236419.8686832028,0.0,0.0,ind
2036,"pv,batt",0,1,734.6207151679193,83.41114106636684,0.0,233329.2400603584,0.0,0.0,ind
2037,"pv,batt",0,1,725.3827152351154,82.30000976413206,0.0,230238.6114375137,0.0,0.0,ind
2038,"pv,batt",0,1,716.1447153023113,81.1888784618972,0.0,227147.98281466906,0.0,0.0,ind
2039,"pv,batt",0,1,706.9067153695072,80.07774715966241,0.0,224057.35419182444,0.0,0.0,ind
2040,"pv,batt",0,1,697.6687154367038,78.9666158574274,0.0,220966.72556897948,0.0,0.0,ind
2041,"pv,batt",0,1,688.4307155038993,77.85548455519262,0.0,217876.0969461352,0.0,0.0,ind
2042,"pv,batt",0,1,679.1927155710956,76.74435325295777,0.0,214785.46832329046,0.0,0.0,ind
2043,"pv,batt",0,1,669.9547156382912,75.63322195072296,0.0,211694.83970044603,0.0,0.0,ind
2044,"pv,batt",0,1,660.7167157054876,74.52209064848797,0.0,208604.21107760133,0.0,0.0,ind
2045,"pv,batt",0,1,651.4787157726834,73.41095934625328,0.0,205513.58245475663,0.0,0.0,ind
2046,"pv,batt",0,1,642.2407158398796,72.29982804401828,0.0,202422.9538319118,0.0,0.0,ind
2047,"pv,batt",0,1,633.0027159070753,71.18869674178363,0.0,199332.32520906726,0.0,0.0,ind
2048,"pv,batt",0,1,623.7647159742718,70.07756543954865,0.0,196241.69658622265,0.0,0.0,ind
2049,"pv,batt",0,1,614.5267160414675,68.9664341373138,0.0,193151.0679633781,0.0,0.0,ind
2050,"pv,batt",0,1,605.2887161086643,67.8553028350789,0.0,190060.4393405332,0.0,0.0,ind
